target_uniprot_id	compound_bindingdb_id	pEC50
P04150	50048332	7.155
P04150	50048333	6.771
P04150	50048334	5.928
P04150	50048335	7.065
P04150	50048336	6.8
P04150	50048337	6.755
P04150	50048338	6.139
P04150	50048339	8.389
P04150	50048340	8.098
P04150	50048341	7.5
P04150	50048342	8.642
P04150	50048343	7.589
P04150	50048344	9.068
P04150	50048345	7.328
P04150	50048346	7.224
P04150	50048347	7.288
P04150	50048348	7.568
P04150	50165101	7.42
P04150	50165102	6.515
P04150	50165106	6.929
P04150	50165105	7.432
P04150	50165103	8.569
P04150	50165104	7.886
P04150	50165100	7.509
P04150	50214923	7.796
P04150	50214927	7.367
P04150	50214922	8.824
P04150	50214941	6.967
P04150	50214919	8.26
P04150	50214935	6.449
P04150	50214928	9.699
P04150	50214939	7.745
P04150	50214933	9.155
P04150	50214937	6.684
P04150	50214948	6.342
P04150	50214926	8.824
P04150	50214932	9.699
P04150	50214949	9.222
P04150	50214929	6.717
P04150	50214938	6.876
P04150	50214918	8.347
P04150	50214934	7.102
P04150	50214945	7.42
P04150	50214942	8.959
P04150	50214930	7.481
P04150	50214947	8.292
P04150	50214943	8.469
P04150	50214924	6.36
P04150	50247194	5.602
P04150	50247196	5.73
P04150	50247195	7.481
P04150	50298028	5.102
P04150	50206899	10.398
P04150	50206900	9.959
P04150	50206901	5.73
P04150	50206902	6.62
P04150	50206940	10.301
P04150	50206945	7.328
P04150	50206946	6.553
P04150	50206934	7
P04150	50206954	6.577
P04150	50206949	6.827
P04150	50334052	6.668
P04150	50334054	7.928
P04150	50334055	6.979
P04150	50334058	6.432
P04150	50334048	7.773
P04150	50334049	6.629
P04150	50334050	7.022
P04150	50334051	8.131
P04150	50338324	8.39
P04150	50338302	6.319
P04150	50338303	8.886
P04150	50338304	7.796
P04150	50338305	7.959
P04150	50338306	7.051
P04150	50338307	7.745
P04150	50338309	6.688
P04150	50338310	7.398
P04150	50338325	7.444
P04150	50338311	6.951
P04150	50338312	8.018
P04150	50338313	8.244
P04150	50338314	7.398
P04150	50338315	8.432
P04150	50338316	7.469
P04150	50338317	9.699
P04150	50338318	9.398
P04150	50338319	6.979
P04150	50338320	7.796
P04150	50338321	9.046
P04150	50338322	7.252
P04150	50338323	6.967
P04150	50338732	7.055
P04150	50338733	7.006
P04150	50338734	7.056
P04150	50338735	6.747
P04150	50338736	6.758
P04150	50338738	7.27
P04150	50338740	7.061
P04150	50338741	7.392
P04150	50338723	6.902
P04150	50338725	7.429
P04150	50338727	7.199
P04150	50338728	7.449
P04150	50338729	7.268
P04150	50338730	7.081
P04150	50338731	7.008
P04150	50338737	6.979
P04150	50338724	7.678
P04150	50338726	6.75
P04150	50340660	7.882
P04150	50340661	7.33
P04150	50340662	7.089
P04150	50340663	7.912
P04150	50340664	7.821
P04150	50340665	7.728
P04150	50354849	9.059
P04150	50354850	7.907
P04150	50354851	9.31
P04150	50354852	9.108
P04150	50354853	9.367
P04150	50354854	8.057
P04150	50354855	9.149
P04150	50354856	8.406
P04150	50354857	9.42
P04150	50354858	7.676
P04150	50354859	8.134
P04150	50354860	8.757
P04150	50354861	8.728
P04150	50354862	8.55
P04150	50354863	8.527
P04150	50355715	6.402
P04150	50355716	7.172
P04150	50355717	7.764
P04150	50355721	6.397
P04150	50355722	6.723
P04150	50355725	6.985
P04150	50355726	6.906
P04150	50355728	7.358
P04150	50355729	6.997
P04150	50355730	7.384
P04150	50355732	7.492
P04150	50355734	7.145
P04150	50355736	6.786
P04150	50355738	7.054
P04150	50355739	7.174
P04150	50355740	7.047
P04150	50355741	6.815
P04150	50355742	7.385
P04150	50355745	7.155
P04150	50348415	7.668
P04150	50355749	7.301
P04150	50348401	6.987
P04150	50355733	6.816
P04150	50355720	5.905
P04150	50249150	7.705
P04150	50355723	7.281
P04150	50355731	6.887
P04150	50355737	6.512
P04150	50355724	6.114
P04150	50355743	6.902
P04150	50355746	7.4
P04150	50355718	5.759
P04150	50355719	6.696
P04150	50355727	7.125
P04150	50355744	5.996
P04150	50355747	6.361
P04150	50355748	6.728
P04150	50326934	7.638
P04150	50356036	7.745
P04150	50356059	6.903
P04150	50356060	6.921
P04150	50356044	7.678
P04150	50356046	7.027
P04150	50356047	6.638
P04150	50356048	6.194
P04150	50356049	7.553
P04150	50356050	7.833
P04150	50356051	7.481
P04150	50356054	6.947
P04150	50356055	6.507
P04150	50356056	6.903
P04150	50356057	7.796
P04150	50356058	7.347
P04150	50356061	6.449
P04150	50356063	7.097
P04150	50356038	6.325
P04150	50356042	8.046
P04150	50356052	6.011
P04150	50357083	7.572
P04150	50357084	7.65
P04150	50357085	7.255
P04150	50357097	7.301
P04150	50357096	6.53
P04150	50357088	7.762
P04150	50357087	7.876
P04150	50357086	7.77
P04150	50357098	7.342
P04150	50357100	6.272
